"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-01","0","-2","55","2922","25.5","33.2","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-02","0","7","62","3886","30.6","37.9","23.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-03","0","21","71","4641","40.7","48.0","33.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-04","6","34","84","4928","55.6","65.2","46.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-05","54","44","91","5077","61.8","72.4","51.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-06","360","54","98","5077","75.2","84.7","65.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-07","805","64","97","0","79.4","87.9","70.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-08","1083","57","91","0","74.0","82.4","65.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-09","1181","53","88","19","67.6","75.7","59.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-10","1181","43","75","238","58.0","66.6","49.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-11","1184","25","76","632","51.9","59.5","44.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994-12","1184","19","65","1340","42.2","48.9","35.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-01","0","15","64","2192","37.5","43.1","31.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-02","0","6","54","3128","31.6","38.8","24.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-03","0","20","72","3749","45.0","52.9","37.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-04","0","23","76","4142","51.9","61.4","42.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-05","37","44","87","4276","61.9","70.1","53.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-06","245","54","95","4279","71.8","80.3","63.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-07","683","60","102","0","79.1","87.0","71.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-08","1103","62","96","0","78.5","87.4","69.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-09","1234","50","91","34","68.3","76.6","59.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-10","1280","42","86","184","61.6","70.0","53.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-11","1280","24","72","827","43.6","50.1","37.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995-12","1280","15","55","1838","32.4","38.0","26.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1996-01","0","6","56","2907","30.5","37.0","24.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1996-02","0","5","62","3811","33.9","40.3","27.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1996-03","0","11","63","4619","38.9","46.2","31.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1996-04","11","33","85","5013","52.2","60.0","44.4"
