"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-01","0","3","64","2558","31.3","37.8","24.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-02","0","19","64","3362","37.3","43.7","30.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-03","0","22","71","3914","47.2","55.0","39.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-04","0","30","75","4334","51.0","58.2","43.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-05","79","46","93","4459","63.5","71.7","55.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-06","299","49","92","4490","71.3","78.8","63.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07","526","58","89","0","72.3","79.0","65.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08","756","57","90","0","72.4","78.6","66.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09","868","43","84","84","66.0","72.9","59.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-10","880","36","79","345","56.9","64.4","49.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-11","880","23","67","937","45.3","50.9","39.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-12","880","14","62","1988","31.1","37.2","25.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-01","0","18","54","2961","33.6","38.8","28.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-02","0","16","61","3775","35.9","43.2","28.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-03","0","24","57","4562","39.6","45.6","33.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-04","14","34","87","4908","53.9","62.8","45.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-05","100","43","92","5039","63.6","71.5","55.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-06","344","50","91","5045","72.9","80.3","65.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-07","597","56","94","0","73.1","81.0","65.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-08","1021","63","103","0","78.7","86.5","70.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-09","1152","50","86","51","67.7","75.3","60.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-10","1183","37","81","284","58.5","66.3","50.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-11","1184","34","75","654","52.7","59.8","45.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001-12","1184","20","71","1304","44.1","50.0","38.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01","0","21","69","2080","39.9","45.4","34.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-02","0","19","63","2764","40.6","48.3","32.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-03","0","19","72","3411","44.1","52.3","35.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-04","71","30","96","3749","56.1","64.8","47.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-05","113","41","86","3925","60.7","69.4","51.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-06","328","53","92","3946","71.4","79.8","63.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-07","754","61","96","0","78.8","87.0","70.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-08","1151","60","98","2","77.7","85.9","69.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-09","1320","54","91","15","70.2","78.0","62.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-10","1349","36","84","348","55.2","61.3","49.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-11","1349","24","68","917","46.0","51.9","40.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-12","1349","19","60","1816","36.0","41.1","30.9"
"USC00285503","MIDLAND PARK, NJ US","2000-01",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2000-02",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2000-04",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2000-05",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2000-06",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2000-07",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2000-09",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2000-10",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2000-11",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2000-12",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-01",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-02",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-03",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-04",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-05",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-06",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-07",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-08",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-09",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-10",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-11",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2001-12",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-01",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-02",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-03",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-04",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-05",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-06",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-07",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-08",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-09",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-10",,,,,,,
"USC00285503","MIDLAND PARK, NJ US","2002-12",,,,,,,
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-01","0","2","61","2816","30.1","38.8","21.4"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-02","0","11","65","3654","35.3","44.6","25.9"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-03","0","20","72","4278","44.9","56.1","33.6"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-04","0","27","75","4732","49.9","60.4","39.3"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-05","56","33","94","4901","61.2","72.9","49.5"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-06","227","47","93","4942","69.5","80.2","58.8"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-07","367","51","89","0","69.5","79.4","59.6"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-08","549","47","90","11","70.5","79.6","61.4"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-09","661","35","85","118","65.1","75.1","55.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-10","661","29","80","457","54.1","65.6","42.6"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-11","661","15","69","1114","43.1","51.2","35.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2000-12","661","12","62","2198","30.0","37.6","22.4"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2001-01","0","4","51","3281","30.1","40.0","20.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2001-02","0","12","58","4146","34.1","42.5","25.6"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2001-03","0","19","58","4994","37.6","45.5","29.8"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2001-04","11","28","88","5387","52.3","64.6","39.9"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2001-05","61","32","93","5538","61.8","73.5","50.0"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2001-06","243","38","93","5558","70.4","81.5","59.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2001-07","385","49","93","8","69.6","79.9","59.2"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2001-08","648","57","95","8","75.2","82.8","67.6"
"USC00302129","DOBBS FERRY ARDSLEY, NY US","2001-09","721","43","87","79","65.2","76.6","53.8"
