STATION,NAME,DATE,CDSD,EMNT,EMXT,HDSD,TAVG,TMAX,TMIN
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2022-02,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2022-03,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2022-04,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2022-05,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2022-06,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2022-08,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2022-09,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2022-12,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-01,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-02,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-03,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-04,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-05,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-06,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-07,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-09,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-10,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2023-11,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2024-03,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2024-04,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2024-05,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2024-06,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2024-07,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2024-08,,,,,,,
US1NJUN0028,"SPRINGFIELD TWP 0.7 NNE, NJ US",2024-09,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2023-04,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2023-05,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2023-06,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2023-07,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2023-08,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2023-09,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2023-10,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2023-11,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2023-12,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2024-01,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2024-02,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2024-03,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2024-04,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2024-06,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2024-07,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2024-08,,,,,,,
US1NYSF0158,"LINDENHURST 1.0 NE, NY US",2024-09,,,,,,,
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-01,0,6,59,2383,28.7,36.6,20.7
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-02,0,13,70,3189,36.2,46.1,26.3
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-03,0,20,76,3801,45.3,54.4,36.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-04,7,36,88,4155,53.4,61.7,45.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05,125,43,98,4235,66.2,75.2,57.3
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06,406,56,96,4235,74.4,83.7,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-07,951,64,102,0,82.6,92.1,73.1
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-08,1430,63,101,0,80.5,89.5,71.4
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-09,1608,47,93,37,69.7,78.4,60.9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-10,1613,37,76,323,55.9,64.9,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-11,1632,24,81,763,51,59.8,42.2
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-12,1632,8,62,1589,38.4,45.9,30.8
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2023-01,0,29,66,2239,44,50.6,37.4
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2023-02,0,5,70,2915,40.8,49.8,31.9
